URL	Timestamp	Size_Bytes	Depth	Status_Code	Content_Type
https://archive.org/details/oxfordhistoryofw00geof	2025-10-01 13:07:39	244875	1	200	text/html; charset=utf-8
https://blog.archive.org	2025-10-01 13:07:41	236252	2	200	text/html; charset=utf-8
https://blog.scienceandmediamuseum.org.uk/the-decline-of-black-and-white-tv/	2025-10-01 13:07:41	102580	1	200	text/html; charset=utf-8
https://blog.scienceandmediamuseum.org.uk/brief-history-of-sound-in-film/	2025-10-01 13:07:41	66418	1	200	text/html; charset=utf-8
https://apple.com/legal	2025-10-01 13:07:41	121111	4	200	text/html; charset=utf-8
https://boxofficemojo.com/calendar/?ref_=bo_lnav_hm_shrt	2025-10-01 13:07:41	347262	1	200	text/html;charset=utf-8
https://boxofficemojo.com/chart/top_lifetime_gross/?ref_=bo_lnav_hm_shrt	2025-10-01 13:07:41	221151	1	200	text/html;charset=utf-8
https://archive.org/details/glorioustechnico0000bast	2025-10-01 13:07:39	231729	1	200	text/html; charset=utf-8
http://marketplace.claris.com	2025-10-01 13:07:42	313181	3	200	text/html
https://2016.decentralizedweb.net/	2025-10-01 13:07:42	29170	3	200	text/html
http://partner.claris.com	2025-10-01 13:07:43	0	3	ERROR	error
http://apple.com/orderstatus	2025-10-01 13:07:41	114371	4	200	text/html;charset=utf-8
http://ciqdek5mgvzne3dnkqgivpi6ot3jjn5mokkyq4udartnmzz7wi4iqly.ipfs.neocitiesops.net/	2025-10-01 13:07:43	0	4	ERROR	error
https://apple.com/legal/internet-services/terms/site.html	2025-10-01 13:07:42	125508	4	200	text/html; charset=utf-8
https://2016.decentralizedweb.net/builders-day/#people	2025-10-01 13:07:42	282391	3	200	text/html
https://archive.org/details/animationunlimit0000fabe	2025-10-01 13:07:39	243135	1	200	text/html; charset=utf-8
https://archive.org/details/reelwomenpioneer00acke	2025-10-01 13:07:40	233892	1	200	text/html; charset=utf-8
http://BigchainDB.com	2025-10-01 13:07:44	0	4	ERROR	error
https://boxofficemojo.com/chart/ww_top_lifetime_gross/?ref_=bo_lnav_hm_shrt	2025-10-01 13:07:43	271224	1	200	text/html;charset=utf-8
http://www.dailymail.co.uk/news/article-2534179/Is-end-black-white-televisions-Just-11-500-households-licence-one-price-colour.html	2025-10-01 13:07:42	806553	2	200	text/html;charset=utf-8
https://archive-it.org	2025-10-01 13:07:43	34684	3	200	text/html; charset=utf-8
http://community.claris.com/en/s/	2025-10-01 13:07:42	222775	3	200	text/html;charset=utf-8
https://archive-it.org/organizations/1346	2025-10-01 13:07:43	15169	3	200	text/html;charset=utf-8
http://OnionShare.<br/><br/>https://www.torproject.org/about/corepeople.html.en	2025-10-01 13:07:44	0	4	ERROR	error
http://ipn.io/	2025-10-01 13:07:44	0	4	ERROR	error
http://bigchaindb.com/whitepaper).<br/><br/>Roadmap:<br/>IPDB	2025-10-01 13:07:44	0	4	ERROR	error
https://boxofficemojo.com/franchise/?ref_=bo_lnav_hm_shrt	2025-10-01 13:07:44	321564	1	200	text/html;charset=utf-8
http://Hash-Archive.org	2025-10-01 13:07:44	0	4	ERROR	error
http://support.claris.com/s/article/Claris-Engineering-Blog?language=en_US	2025-10-01 13:07:42	186791	3	200	text/html;charset=utf-8
http://href=	2025-10-01 13:07:44	0	4	ERROR	error
http://ipn.io	2025-10-01 13:07:44	0	4	ERROR	error
https://archive-it.org/collections/9742	2025-10-01 13:07:43	141931	3	200	text/html;charset=utf-8
http://support.claris.com/	2025-10-01 13:07:43	186791	3	200	text/html;charset=utf-8
